"#";"Name";"Manufacturer";"Quantity"
"1";"CAP_0805";"";"10"
"2";"DIODE_0805";"";"2"
"3";"raspberry_pi_zero/2/3";"";"1"
"4";"43202-8816";"Molex";"1"
"5";"IND_0805";"";"1"
"6";"RES_0805";"";"10"
"7";"ENC28J60";"Microchip";"1"
"8";"AP2112K-3.3TRG1";"Diodes Incorporated";"1"
"9";"ABMM-25.000MHZ-B2-T";"Abracon";"1"
